Id,Name,Desc
1001,Fortaleza da Estrada de Gludin,Fortaleza construída na Planície do Moinho para impedir que os Ol Mahums que moram no Acampamento do Saqueador assaltem.
1002,Fortaleza da Planície de Gludio,Fortaleza construída para impedor que Orc Turek invadisse as áreas circundantes e o leste de Dion.
1003,Fortaleza da Mansão Windawood,"Fortaleza construída na Mansão Windawood para proteger os cristais de PM, que são usados como material para criar Disparos Anímicos."
1004,Fortaleza do Deserto,Fortaleza construída em Gludio para impedir a invasão dos monstros do Deserto corrompidos com PM.
2001,Fortaleza da Planície de Dion,Fortaleza construída para expulsar e impedir que Homens-lagartos invadissem a Planície.
2002,Fortaleza do Pântano de Cruma,Fortaleza construída pelo governante de Dion para impedir que os Stakatos que moram no Pântano de Cruma expandissem seu território.
2003,Fortaleza do Pico da Dissonância,Fortaleza construída pelo governante de Dion para impedir as invasões dos Tanors e Ol Mahums que moram no Pico.
2004,Fortaleza dos Sacrários Uivantes,Fortaleza construída como proteção contra os mortos-vivos infinitos que aparecem no Forte do Desespero.
5001,Fortaleza das Ruínas de Dolmen,Esta fortaleza nas Ruínas de Dolmen protege as Ruínas Élficas.
5002,Fortaleza das Terras Esparsas,Esta fortaleza protege contra os orcs que conquistaram o Obelisco da Vitória.
5003,Fortaleza do Obelisco da Vitória,"Esta fortaleza protege os monstros, após a derrota dos orcs no Obelisco da Vitória."
5004,Fortaleza do Acampamento Fortificado,Esta instalação foi construída pelos bruxos humanos do passado a fim de descobrirem suas habilidades mágicas. Transformaram-na em uma fortaleza e é usada pelos humanos.
5005,Fortaleza do Bosque Sussurrante,Esta fortaleza fica na entrada do Bosque Sussurrante. Construíram-na para proteger contra os monstros do Bosque Sussurrante.
5006,Fortaleza da Floresta Amaldiçoada,O centro do ambiente natural da Ilha Falante e lar dos espíritos. Os humanos construíram esta fortaleza para proteger os espíritos.
5007,Fortaleza do Posto de Observação Oeste,Esta fortaleza protege contra a invasão de piratas ou monstros que vêm do litoral.
5008,Fortaleza das Ruínas Élficas,Esta antiga fortaleza protege as Ruínas Élficas. Os humanos a usam depois que os elfos a abandonaram.
10001,Cerco Aberto,
