Key,Value
GuildWarehouseRecordSiegeWarReward,Recompensa de Asedio al castillo
GuildWarehouseRecordSiegeWarBidding,Apuesta para Asedio al castillo
GuildWarehouseRecordFortressWarReward,Recompensa de Asedio a la fortaleza
GuildWarehouseRecordFortressWarBidding,Apuesta de Asedio a la fortaleza
GuildWarehouseRecordCommission,Recaudar impuestos
GuildWarehouseRecordMarketBuy,Comprar en tienda
SystemMailName,Sistema
SystemMessageKickOutFromGM,El servidor se está reiniciando. Reinicia el juego.
SystemMessageLogOut,La partida terminará ahora.
CastleSiegeFestivalCouponResetNotify,Se reiniciarán los billetes del festival de asedio.
MailTitleCheat,Trampas
MailTitleTutorialReward,Tutorial
MailTitleGuideQuestReward,Recompensa de El viaje del mercenario
MailTitleShopGachaItem,Objeto de caja de invocación de tienda
MailTitleDungeonReward,Recompensa de mazmorra
MailTitlePvpHonorPointReward,Recompensa de honor de arena
MailTitlePvpFirstRankReward,Recompensa de logro de primer rango de arena
MailTitlePvpRankingReward,Recompensa de clasificación de arena
MailTitleCastleSiegeBegin,Comienzo de Asedio al castillo
MailTitleCastleSiegeLoseReward,Recompensa de pérdida de Asedio al castillo
MailTitleCastleSiegeWinReward,Recompensa de victoria de Asedio al castillo
MailTitleFortressSiegeLoseReward,Recompensa de pérdida de Asedio a la fortaleza
MailTitleFortressSiegeWinReward,Recompensa de victoria de Asedio a la fortaleza
MailTitleFortressSiegeDrawReward,Recompensa por empate en Asedio a la fortaleza
MailTitleAuctionHouseBuy,Comprar en punto de intercambio
MailTitleAuctionHouseSellFailed,Oferta de punto de intercambio vencida
MailTitleAuctionHouseSellingCancel,Oferta de punto de intercambio cancelada
MailTitleConnectDailyReward,Recompensa de inicio de sesión diario
MailTitleConnectWeeklyReward,Recompensa de inicio de sesión semanal
MailTitleConnectMonthlyReward,Recompensa de inicio de sesión mensual
MailTitleGuildAchievementReward,Recompensa de logros del clan
MailTitleGuildMarketBuy,Comprar en la tienda del clan
MailTitleGuildMarketGiftBuy,[Player] envió un regalo.
MailTitleGuildWarehouseGrant,Premio de clan
MailTitleAchievementReward,Recompensa por logro
MailTitlePeriodAchievementReward,Recompensa por logros con límite de tiempo
MailTitleFriendGreet,Saludar a amigo
MailTitleBagIsFull,Inventario lleno
MailTitleDailyActivityReward,Recompensa por actividades diarias
MailTitleInstantCompleteReward,Objeto de recogida de recompensa
MailTitleMissionDailyReward,Recompensa por misión diaria
MailTitleMissionWeeklyReward,Recompensa por misión semanal
MailTitleShopReward,Recargar/gastar recompensa
MailTitleSupriseBox,Abrir caja sorpresa
MailTitleEvent,Recompensa por evento
MailTitleEventDice,Recompensa por evento del dado
MailTitleEventDiceComplete,Recompensa por completar vuelta del evento del dado
MailTitleCastleSiegeFestivalWin,Se predijo correctamente el clan vencedor del festival de asedio al castillo
MailTitleCastleSiegeFestivalLose,No se predijo el clan vencedor del festival de asedio al castillo
MailTitleItemEnchantFailReward,Recompensa de fallo en mejora
MailTitleAccountLevelReward,서버 레벨 달성 이벤트 보상
MailContentCheat,[Item]
MailContentTutorialReward,¡Has recibido [Item] como recompensa del tutorial!
MailContentGuideQuestReward,@MailContentCheat
MailContentShopGachaItem,Objeto obtenido en la caja de invocación de la tienda. (Límite de inventario alcanzado)
MailContentDungeonReward,Un objeto obtenido como recompensa de mazmorra.
MailContentPvpHonorPointReward,@MailContentCheat
MailContentPvpFirstRankReward,@MailContentCheat
MailContentPvpRankingReward,@MailContentCheat
MailContentCastleSiegeBegin,@MailContentCheat
MailContentCastleSiegeLoseReward,@MailContentCheat
MailContentCastleSiegeWinReward,@MailContentCheat
MailContentFortressSiegeLoseReward,@MailContentCheat
MailContentFortressSiegeWinReward,@MailContentCheat
MailContentAuctionHouseBuy,Consulta los objetos que has comprado en el punto de intercambio.
MailContentAuctionHouseSellFailed,Este objeto no se ha podido vender en el punto de intercambio.
MailContentAuctionHouseSellingCancel,Se canceló la oferta de este objeto en el punto de intercambio.
MailContentConnectDailyReward,Adquirido [Item] por estar en línea
MailContentConnectWeeklyReward,Se ha obtenido [Item] por el día [Day].
MailContentConnectMonthlyReward,@MailContentConnectWeeklyReward
MailContentGuildAchievementReward,@MailContentCheat
MailContentGuildMarketBuy,@MailTitleGuildMarketBuy
MailContentGuildMarketGiftBuy,[RewardName]
MailContentGuildWarehouseGrant,Has recibido un premio del clan.
MailContentAchievementReward,@MailContentCheat
MailContentPeriodAchievementReward,@MailContentCheat
MailContentFriendGreet,@MailContentCheat
MailContentBagIsFull,@MailContentCheat
MailContentDailyActivityReward,@MailContentCheat
MailContentInstantCompleteReward,@MailContentCheat
MailContentMissionDailyReward,@MailContentCheat
MailContentMissionWeeklyReward,@MailContentCheat
MailContentShopReward,@MailContentCheat
MailContentSupriseBox,@MailContentCheat
MailContentEvent,@MailContentCheat
MailContentEventDice,@MailContentCheat
MailContentEventDiceComplete,@MailContentCheat
MailContentCastleSiegeFestivalWin,@MailContentCheat
MailContentCastleSiegeFestivalLose,@MailContentCheat
MailContentItemEnchantFailReward,@MailContentCheat
MailContentAccountLevelReward,서버 레벨 달성 이벤트 보상입니다.
MailRewardAdena,[Count] adena(s)
MailRewardDiamond,[Count] diamante(s)
MailRewardCrystal,Fragmento
MailRewardExp,[Count] exp.
MailRewardQuestLimitTime,Límite de tiempo de misión
MailRewardFriendshipPoint,[Count] puntos de amistad
MailRewardStatus,[Count] parámetro(s)
MailRewardBloodCrystal,[Count] cristal(es) de sangre
MailRewardGachaTicket,@MailContentCheat
MailRewardCastleSiegeFestivalCoupon,Billete de festival de asedio
GuildWarehouseRecordGuildAchievement,Logro del clan
GuildWarehouseRecordGuildDungeon,[GuildDungeonName]
MailRewardSkillPoint,PH
MailRewardTopaz,Topacio
MailRewardMileage,Puntos de lealtad
MailRewardGuildCoin,Moneda de clan
MailRewardAchievementPoint,Puntos por logro
MailRewardPvpHonorPoint,Puntos de honor
MailRewardRunePiece,Fragmento de runa
MailRewardPvpTicket,Billete de arena
MailTitleClassTransfer,Transferencia de clase
MailContentClassTransfer,@MailContentCheat
MailTitleMonsterBook,Códice de monstruo
MailContentMonsterBook,@MailContentCheat
MailTitleGuildDungeonReward,Esta es tu recompensa por no participar en [GuildDungeonName].
MailContentGuildDungeonReward,@MailTitleGuildDungeonReward
MailTitleGuildDungeonAttendanceReward,Esta es tu recompensa por participar en [GuildDungeonName].
MailContentGuildDungeonAttendanceReward,@MailTitleGuildDungeonAttendanceReward
MailTitleGuildDungeonHelpReward,Se enviará la recompensa de ayuda al clan [GuildDungeonName].
MailContentGuildDungeonHelpReward,Se ha enviado la recomp. por terminar con la ayuda de [GuildDungeonName].
MailTitleLevelUpGift,Recompensa de fortalecimiento de personaje
MailContentLevelUpGift,Recompensa: [Item]
MailTitleReservedNickName,¡Este es tu regalo de agradecimiento por reservar tu nombre!
MailContentReservedNickName,@MailContentCheat
MailTitleGuildAgitQuestReward,Recompensa por misión de sala de clan
MailContentGuildAgitQuestReward,@MailContentCheat
MailTitleAccountLink,Recompensa de cuenta vinculada
MailContentAccountLink,@MailContentCheat
MailTitleGuildAgitRelicReward,Resultados de valoración de reliquia
MailContentGuildAgitRelicReward,@MailContentCheat
MailTitleGuildAgitRelicCollect,Recuperar reliquia registrada
MailContentGuildAgitRelicCollect,@MailContentCheat
MailTitleGuildAgitLiquidCreate,Fabricar poción
MailContentGuildAgitLiquidCreate,@MailContentCheat
MailTitleFishingBookReward,Recompensa de Códice de pesca
MailContentFishingBookReward,@MailContentCheat
MailTitleBattlefieldOfHonorSeasonReward,Recompensa de temporada Batalla de honor
MailContentBattlefieldOfHonorSeasonReward,@MailContentCheat
MailTitleBattlefieldOfBraveSeasonReward,Recompensa de temporada Campo de batalla osado
MailContentBattlefieldOfBraveSeasonReward,@MailContentCheat
MailTitleBattlefieldOfAncientSeasonReward,Recompensa de temporada Campo de batalla antiguo
MailContentBattlefieldOfAncientSeasonReward,@MailContentCheat
GuildWarehouseRecordGuillAgitQuest,Misiones de la sala del clan
GuildWarehouseRecordGuildAgitLiquidMaterialUse,Usar materiales de poción
GuildWarehouseRecordGuildAgitLiquidMaterialCreate,@MailTitleGuildAgitLiquidCreate
