Id,Name,Desc
1001,古魯丁街道要塞,為了阻止棲息在掠奪者的巢穴的豺狼們的掠奪行為，在風車平原建立的要塞。
1002,古魯丁平原要塞,為了阻止棲息在周圍的土瑞克獸人和位於東部的狄恩的入侵而建立的要塞。
1003,溫達伍德莊園要塞,為了保護靈魂彈材料的魔力水晶而建立在溫達伍德莊園的要塞。
1004,荒原要塞,為了阻止被魔力污染的荒原怪物的入侵，建立在古魯丁的要塞。
2001,狄恩牧草地要塞,為了驅離並阻止棲息在牧草地的蜥蜴人侵略而建立的要塞。
2002,克魯瑪沼澤要塞,狄恩領主為了阻擋棲息在克魯瑪沼澤的司塔卡拓擴張領土的行為而建立的要塞。
2003,鬥爭的山峰要塞,狄恩領主為了阻止棲息在山峰的塔諾與豺狼的侵略而建立的要塞。
2004,吶喊之地要塞,為了阻止不斷在絕望的城堡出現的喪屍而建立的要塞。
5001,巨石棚廢墟要塞,為了保護精靈廢墟而建立在巨石棚廢墟的要塞。
5002,崩壞的勝利之地要塞,為了阻擋佔領勝利紀念塔的獸人們而建立的要塞。
5003,戰勝紀念塔要塞,消滅勝利紀念塔的獸人後，為了阻檔怪物的侵略而建立的要塞。
5004,臨時防禦基地要塞,過去為了確認人類魔法師的魔法能力而建立的訓練設施，現在變為要塞型態被人類在使用中。
5005,風之森林要塞,建立於風之森林出口，為了阻止從森林中的怪物攻擊而建立的要塞。
5006,留下的精靈森林要塞,靈魂生活著的地方，說話之島自然的中心。為了保護這邊的靈魂，人類建立的要塞。
5007,西部邊境哨所要塞,為了阻止從海岸邊湧進而來的海賊或是怪物而建立的要塞。
5008,精靈廢墟要塞,為了保護過去精靈們的廢墟而建立的要塞。精靈們離開後，被人類使用中。
10001,자유요새전,
