Key,Value
1,لا يتوافق إصدار الحزم مع الخادم. أعد تشغيل التطبيق.
2,أعد تشغيل التطبيق لوجود تحديث.
3,خطأ في الخادم (DB)
4,خطأ في الخادم (LUA)
5,خطأ في جدول Excel
6,خطأ في الخادم (المعلمة)
7,خطأ في الخادم (المنطق)
8,خطأ في الخادم
9,لم تقم بتسجيل الدخول.
10,لقد قمت بتسجيل الدخول بالفعل.
11,لا توجد أهداف لطردها.
12,مصادقة غير صحيحة
13,معرف شخصية غير صحيح
14,معلومات تصنيف غير صحيحة
15,نوع غير صحيح
16,اسم غير صحيح
17,معلومات شخصية غير قابلة للعب غير صحيحة
18,معرف لاعب غير صحيح
19,معلومات سباق غير صحيحة
20,مهارة غير صحيحة
21,هدف مهارة غير صحيح
22,حالة غير صحيحة
23,You can no longer enter.
24,لا يوجد معرف جهاز.
25,هذا الاسم مستخدم بالفعل.
26,جارٍ استخدام المهارة.
27,لا يمكنك التحرك.
28,لست ميتًا.
29,لا توجد نقاط مانا كافية
30,لا توجد عملات أدينا كافية
31,لم تحدد لاعبًا.
32,لا يوجد ألماس كافٍ.
33,مستوى الشخصية ليس عاليًا بالقدر الكافي.
34,لا يمكن نقل الفئة إلى المعرف نفسه.
35,لا يمكن النقل إلى هذه الفئة.
36,لا يمكنك نقل الفئة حتى الآن لأن مستواك منخفض جدًا.
37,رمز أمان غير صحيح.
38,معرف لاعب غير صحيح.
39,معرف تأثير دعم غير صحيح.
40,معرف معلومات المتجر غير صحيح.
41,تجزئة الحزمة غير متوافقة. قد لا يتم تشغيل لعبتك بشكل صحيح.
42,معرف تأثير المهارة غير صحيح.
43,معرف الإنجاز غير صحيح.
44,مستوى الروني غير صالح.
45,لا توجد قطع أحرف رونية كافية.
46,معلومات الأحرف الرونية غير صالحة.
47,فشل في رفع مستوى الروني.
48,لقد وصلت الأحرف الرونية إلى أعلى مستوى بالفعل.
49,مستوى الأحرف الرونية السابق ليس عاليًا بالقدر الكافي.
50,يتجاوز هذا أقصى سعة لعملة أدينا.
51,يتجاوز هذا أقصى سعة للتوباز.
