Key,Value
GuildWarehouseRecordSiegeWarReward,Kale Kuşatması Ödülü
GuildWarehouseRecordSiegeWarBidding,Kale Kuşatması'nda Teklif ver
GuildWarehouseRecordFortressWarReward,Şato Kuşatması Ödülü
GuildWarehouseRecordFortressWarBidding,Şato Kuşatması Teklifi
GuildWarehouseRecordCommission,Vergi Topla
GuildWarehouseRecordMarketBuy,Dükkandan Al
SystemMailName,Sistem
SystemMessageKickOutFromGM,Sunucu sıfırlanıyor. Lütfen oyunu yeniden başlat.
SystemMessageLogOut,Oyun şimdi sona erecek.
CastleSiegeFestivalCouponResetNotify,Kuşatma Festivali Biletleri sıfırlanacak.
MailTitleCheat,Hile
MailTitleTutorialReward,Öğretici
MailTitleGuideQuestReward,Kahramanın Yolculuğu Ödülü
MailTitleShopGachaItem,Dükkan Çağrı Sandığı Eşyası
MailTitleDungeonReward,Zindan Ödülü
MailTitlePvpHonorPointReward,Arena Onur Ödülü
MailTitlePvpFirstRankReward,Arena İlk Sıralama Başarım Ödülü
MailTitlePvpRankingReward,Arena Sıralama Ödülü
MailTitleCastleSiegeBegin,Kale Kuşatması Başlangıcı
MailTitleCastleSiegeLoseReward,Kale Kuşatması Mağlubiyet Ödülü
MailTitleCastleSiegeWinReward,Kale Kuşatması Zafer Ödülü
MailTitleFortressSiegeLoseReward,Şato Kuşatması Mağlubiyet Ödülü
MailTitleFortressSiegeWinReward,Şato Kuşatması Zafer Ödülü
MailTitleFortressSiegeDrawReward,Şato Kuşatması Berabere Kalma Ödülü
MailTitleAuctionHouseBuy,Pazardan Al
MailTitleAuctionHouseSellFailed,Pazar Satışının Süresi Doldu
MailTitleAuctionHouseSellingCancel,Pazar Satışı İptal Edildi
MailTitleConnectDailyReward,Günlük Giriş Ödülü
MailTitleConnectWeeklyReward,Haftalık Giriş Ödülü
MailTitleConnectMonthlyReward,Aylık Giriş Ödülü
MailTitleGuildAchievementReward,Klan Başarım Ödülü
MailTitleGuildMarketBuy,Klan Dükkanından Al
MailTitleGuildMarketGiftBuy,[Player] bir hediye gönderdi.
MailTitleGuildWarehouseGrant,Klan Ödülü
MailTitleAchievementReward,Başarım Ödülü
MailTitlePeriodAchievementReward,Süreli Başarım Ödülü
MailTitleFriendGreet,Arkadaş Selamla
MailTitleBagIsFull,Envanter Dolu
MailTitleDailyActivityReward,Günlük Aktivite Ödülü
MailTitleInstantCompleteReward,Ödül Alım Eşyası
MailTitleMissionDailyReward,Günlük Görev Ödülü
MailTitleMissionWeeklyReward,Haftalık Görev Ödülü
MailTitleShopReward,Yenileme/Harcama Ödülü
MailTitleSupriseBox,Sürpriz Sandık Aç
MailTitleEvent,Etkinlik Ödülü
MailTitleEventDice,Zar Etkinliği Ödülü
MailTitleEventDiceComplete,Zar Etkinliği Tur Tamamlama Ödülü
MailTitleCastleSiegeFestivalWin,Kale Kuşatması Festivali Kazanan Klan Doğru Tahmin Edildi
MailTitleCastleSiegeFestivalLose,Kale Kuşatması Festivali Kazanan Klan Tahmini Yanlış
MailTitleItemEnchantFailReward,Güçlendirme Başarısız Ödülü
MailTitleAccountLevelReward,서버 레벨 달성 이벤트 보상
MailContentCheat,[Item]
MailContentTutorialReward,Öğretici ödülü olarak [Item] kazandın!
MailContentGuideQuestReward,@MailContentCheat
MailContentShopGachaItem,Eşya Dükkandaki Çağrı Sandığından alındı. (Envanter limitine ulaşıldı)
MailContentDungeonReward,Zindan Ödülü olarak bir eşya alındı.
MailContentPvpHonorPointReward,@MailContentCheat
MailContentPvpFirstRankReward,@MailContentCheat
MailContentPvpRankingReward,@MailContentCheat
MailContentCastleSiegeBegin,@MailContentCheat
